"","source","target","name","lat_source","lon_source","lat_target","lon_target"
"75","Samos","Mitylene","Epicurus","37.73","26.84","39.110475","26.547048"
"76","Samos","Ionia region (Asia Minor)","Epicurus","37.73","26.84","37.474596","27.508324"
"77","Creta","Athenae","Epimenides","35.23189721","24.88625628","37.971687","23.726464"
"78","Creta","Ida","Epimenides","35.23189721","24.88625628","39.7","26.83333"
"79","Cnidos","Piraeus","Eudoxus","36.730968","27.685848","37.938183","23.645456"
"80","Cnidos","Memphis (Egypt)","Eudoxus","36.730968","27.685848","29.849491","31.255061"
"81","Cnidos","Athenae","Eudoxus","36.730968","27.685848","37.971687","23.726464"
"82","Cnidos","Cyzicus","Eudoxus","36.730968","27.685848","40.361304","27.927064"
"83","Cnidos","Propontis","Eudoxus","36.730968","27.685848","40.6666672","28.2499999"
"84","Cnidos","Ancient Egypt (region)","Eudoxus","36.730968","27.685848","27.884516","28.39896735"
"85","Sicily","Athenae","Eudoxus III","37.59995833","14.01537778","37.971687","23.726464"
"86","Taras/Tarentum/Neptunia","Italy","Eurytus","40.469229","17.240045","43","12"
"87","Athenae","Mantinea","Gryllus II","37.971687","23.726464","37.616619","22.391896"
"88","Athenae","Corinth","Gryllus II","37.971687","23.726464","37.906045","22.878721"
"89","Athenae","Lepreum","Gryllus II","37.971687","23.726464","37.432321","21.726002"
"90","Heraclea","Athenae","Heraclides","40.213021","16.678299","37.971687","23.726464"
"91","Caria","Amphiareion","Hierocles","37.2454182","28.28124501","38.29388","23.855162"
"92","Caria","Munichia","Hierocles","37.2454182","28.28124501","37.875","23.625"
"93","Caria","Piraeus","Hierocles","37.2454182","28.28124501","37.938183","23.645456"
"94","Taras/Tarentum/Neptunia","Thebes","Lysis II","40.469229","17.240045","38.319236","23.317355"
"95","Eretria","Amphiareion","Menedemus","39.29195","22.60593","38.29388","23.855162"
"96","Eretria","Oropus","Menedemus","39.29195","22.60593","38.319486","23.793064"
"97","Eretria","Megara (Attica)","Menedemus","39.29195","22.60593","37.99471","23.34324"
"98","Eretria","Elis","Menedemus","39.29195","22.60593","37.891781","21.375091"
"99","Phoenicia","Thebes","Menippus","33.25","35.25","38.319236","23.317355"
"100","Maronea","Corinth","Metrocles","40.874503","25.509974","37.906045","22.878721"
"101","Phoenicia","Miletus","Nileos","33.25","35.25","37.531526","27.279561"
"102","Syros","Messene","Pherecydes","37.43","24.92","37.183107","21.922941"
"103","Syros","Samos","Pherecydes","37.43","24.92","37.73","26.84"
"104","Syros","Delphi","Pherecydes","37.43","24.92","38.482289","22.501169"
"105","Syros","Olympian Zeus sanctuary (Eleia)","Pherecydes","37.43","24.92","37.63794","21.63042"
"106","Syros","Delos","Pherecydes","37.43","24.92","37.397274","25.268194"
"107","Crotone","Italy","Philolaus","39.080763","17.12708","43","12"
